,precision,recall,f1-score,support
Normal,0.9746835443037974,1.0,0.9871794871794872,77.0
Astrocitoma,0.9861111111111112,0.9466666666666667,0.9659863945578231,75.0
Carcinoma,0.96875,1.0,0.9841269841269841,31.0
Ependimoma,1.0,0.9473684210526315,0.972972972972973,19.0
Ganglioglioma,1.0,1.0,1.0,8.0
Germinoma,1.0,1.0,1.0,13.0
Glioblastoma,1.0,0.9230769230769231,0.96,26.0
Granuloma,1.0,0.9,0.9473684210526315,10.0
Meduloblastoma,1.0,0.9333333333333333,0.9655172413793104,15.0
Meningioma,0.9495798319327731,0.9826086956521739,0.9658119658119658,115.0
Neurocitoma,1.0,0.9827586206896551,0.991304347826087,58.0
Oligodendroglioma,1.0,1.0,1.0,31.0
Papiloma,1.0,0.9655172413793104,0.9824561403508771,29.0
Schwannoma,0.9242424242424242,1.0,0.9606299212598425,61.0
Tuberculoma,1.0,0.8823529411764706,0.9375,17.0
accuracy,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743
macro avg,0.9868911274393404,0.9642455228684775,0.9747235917678654,585.0
weighted avg,0.9754199740098846,0.9743589743589743,0.9742971751104464,585.0
