drop_reason,class,idx,path,group
per_group_cap,Astrocitoma,1069,15/Astrocitoma/Astrocitoma (40).jpeg,530
per_group_cap,Astrocitoma,782,15/Astrocitoma/f8e362fc4e466f29dec486110115d6c2b432bab9a59c507926bf5fef1c5ac2cf_big_gallery.jpeg,532
per_group_cap,Astrocitoma,1127,15/Astrocitoma/Astrocitoma (14).jpeg,532
per_group_cap,Astrocitoma,1312,15/Astrocitoma/3df00c7203fa635752f31754393349b8c3be8bdf571b3665f41ec95de9d6e9aa_big_gallery.jpeg,532
per_group_cap,Astrocitoma,820,15/Astrocitoma/e8fe333675743676ac8a1fa2c92f809c4cda4dd29dce7016166e84f632a82f13_big_gallery.jpeg,570
per_group_cap,Astrocitoma,943,15/Astrocitoma/ab79c8df3e061b384fed723673e83cad4445bfd967934ce9e2a8a9e611dc504c_big_gallery.jpeg,570
per_group_cap,Astrocitoma,1034,15/Astrocitoma/Astrocitoma (62).jpeg,570
per_group_cap,Astrocitoma,1123,15/Astrocitoma/Astrocitoma (16).jpeg,570
per_group_cap,Astrocitoma,1157,15/Astrocitoma/Astrocitoma (105).jpeg,570
per_group_cap,Astrocitoma,955,15/Astrocitoma/a1c8783fde351968a7277b093cfdbaade9db0e7be7f02e5ac206784d7e2e4326_big_gallery.jpeg,571
per_group_cap,Astrocitoma,1186,15/Astrocitoma/97343f4fabd4f5cf61b7a3b6017ef3d6f9d8bdd7afcd02707771e2d0071a994b_big_gallery.jpeg,571
per_group_cap,Astrocitoma,851,15/Astrocitoma/d2975582193f17c4832270cf3659353c37ff2e2074edb5708dc527ce4d6bcc78_big_gallery.jpeg,600
per_group_cap,Astrocitoma,1032,15/Astrocitoma/Astrocitoma (64).jpeg,600
per_group_cap,Astrocitoma,1280,15/Astrocitoma/568294f15d3bbd1061680d6ad02c4fe2bb042685bdd942a7684d56a4669d6ce8_big_gallery.jpeg,600
per_group_cap,Astrocitoma,1016,15/Astrocitoma/Astrocitoma (78).jpeg,644
per_group_cap,Astrocitoma,916,15/Astrocitoma/astro_infraT (2).jpeg,663
per_group_cap,Astrocitoma,945,15/Astrocitoma/aaea4b69bb7433832921aca8f50ac72132e16cec884beef59c9dda3403205515_big_gallery.jpeg,686
per_group_cap,Astrocitoma,1152,15/Astrocitoma/Astrocitoma (11).jpeg,686
per_group_cap,Astrocitoma,1318,15/Astrocitoma/3b964803d1f2f56863ed34328867ef6c048592cbad014c82c6ff128deabedf64_big_gallery.jpeg,686
per_group_cap,Astrocitoma,1059,15/Astrocitoma/Astrocitoma (45).jpeg,744
per_group_cap,Astrocitoma,1215,15/Astrocitoma/8754ae84fef8a6f3fca75fbf627ac866059c7b93516bbdd56d3fe69e93151796_big_gallery.jpeg,744
per_group_cap,Astrocitoma,1511,15/Astrocitoma/01809e58d2c1e7fff56cc5d8520f5a0500e22624a400948250b05f2ae0a1f177_big_gallery.jpeg,744
per_group_cap,Astrocitoma,1290,15/Astrocitoma/4de07801000419b485f051ac145b40492455f7c1dacf5d5e16aaef9b9ad7aba9_big_gallery.jpeg,769
