idx,path,class_idx,class,group,kept_equalized
0,15/Normal/fff611c9e99acfd57dfac7661c042b_big_gallery.jpeg,0,Normal,0,False
1,15/Normal/ff2c9645267ce5673fd764fb1bc721_big_gallery.jpeg,0,Normal,1,False
2,15/Normal/ff246a27340a9879e5a8fa4726e205_big_gallery.jpeg,0,Normal,2,False
3,15/Normal/ff.jpg,0,Normal,3,False
4,15/Normal/fe9adef1dd65812a09089bc6470995_big_gallery.jpeg,0,Normal,4,False
5,15/Normal/fe4cca20cf7d0db5c1a578c2d566d3_big_gallery.jpeg,0,Normal,5,False
6,15/Normal/fdffa3aa06bcd0d7445d1da35a9ef7_big_gallery.jpeg,0,Normal,6,False
7,15/Normal/fda92e9e884f718f8240320b184f74_big_gallery.jpeg,0,Normal,7,False
8,15/Normal/fda32d9ec9caf6acbe1bdd6c5c71cc_big_gallery.jpeg,0,Normal,8,True
9,15/Normal/fc71553fdffb01972c72dde187a707_big_gallery.jpeg,0,Normal,9,False
11,15/Normal/fbf1fc71d8d986af2239c4f7acd9d6_big_gallery.jpeg,0,Normal,11,False
12,15/Normal/fb7e846f8daa79eb0befd17c8ddd36_big_gallery.jpeg,0,Normal,12,False
13,15/Normal/f7ef829a540e787a101244493f24cc_big_gallery.jpeg,0,Normal,13,False
14,15/Normal/f7719d22da122b98bfbda305940ed2_big_gallery.jpeg,0,Normal,14,False
16,15/Normal/f6802f609fd580fd7a3dfce9650e72_big_gallery.jpeg,0,Normal,16,False
18,15/Normal/f63db7e2a644c6d658698abba092b7_big_gallery.jpeg,0,Normal,18,False
20,15/Normal/f20c1f64a8884000cf2fc30187e6c7_big_gallery.jpeg,0,Normal,20,False
22,15/Normal/f08d1a43dbd6787e018fca4eaac463_big_gallery.jpeg,0,Normal,22,False
23,15/Normal/f072e73cd189d96968e5edb0d65b89_big_gallery.jpeg,0,Normal,23,False
26,15/Normal/f0233be0f33ed379b4926c76caa090_big_gallery.jpeg,0,Normal,26,False
27,15/Normal/ed8f09146ec846263a89ef8aa70491_big_gallery.jpeg,0,Normal,27,False
31,15/Normal/ec59a2af98a96b0491fa97812481a1_big_gallery.jpeg,0,Normal,31,False
32,15/Normal/ec10b044823438b68a49cd34453692_big_gallery.jpeg,0,Normal,32,False
33,15/Normal/ebc47203bd41a6b2d98130de5af10f_big_gallery.jpeg,0,Normal,33,False
34,15/Normal/eb87cbbc2a630b7078acb2f1bbecfa_big_gallery.jpeg,0,Normal,34,False
36,15/Normal/ea782e1e91160ed77c78385f17550e_big_gallery.jpeg,0,Normal,36,False
37,15/Normal/e9ce938c54c0a8cdf13c92a504fd83_big_gallery.jpeg,0,Normal,37,True
38,15/Normal/e96d71e8b4d9825c3d82fec0097cbf_big_gallery.jpeg,0,Normal,38,False
39,15/Normal/e8ec5075c324ac6ddea5165a3f8bd7_big_gallery.jpeg,0,Normal,39,False
40,15/Normal/e69d0522b959db70d0e652b4904f16_big_gallery.jpeg,0,Normal,40,False
41,15/Normal/e63bc5f355d7f34e7fad561d84622c_big_gallery.jpeg,0,Normal,41,False
42,15/Normal/e5504b7b1a383a42eaeb69c81fc711_big_gallery.jpeg,0,Normal,42,False
43,15/Normal/e4c4a2e144c7c00335d23443e992da_big_gallery.jpeg,0,Normal,43,True
44,15/Normal/e391f0af968c4e043f3d9e97efdceb_big_gallery.jpeg,0,Normal,44,False
46,15/Normal/e177805091698b5fa1638d1cbf3133_big_gallery.jpeg,0,Normal,46,False
47,15/Normal/e15c4b8ac6c52898016ee8c522a3fc_big_gallery.jpeg,0,Normal,47,False
48,15/Normal/e0a1f0990acc1cdffd4f6cd89f292b_big_gallery.jpeg,0,Normal,48,False
51,15/Normal/df5c8130644c88d5001d3bd0f96bd1_big_gallery.jpeg,0,Normal,51,False
52,15/Normal/de952fae9dcff7eb07abb6d803b515_big_gallery.jpeg,0,Normal,52,False
53,15/Normal/de751b98390d095a558b76f67cf0c6_big_gallery.jpeg,0,Normal,53,True
55,15/Normal/dd83137b946713ebf1119612db02ce_big_gallery.jpeg,0,Normal,55,False
56,15/Normal/dd668a843fc2895e903d538bf908e4_big_gallery.jpeg,0,Normal,56,False
58,15/Normal/dc7717d8502771e82a88b117e90a41_big_gallery.jpeg,0,Normal,58,False
59,15/Normal/dc2d77f74d06be6883ee7feb199c6a_big_gallery.jpeg,0,Normal,59,True
60,15/Normal/dbd2c7424630a8be40c63404d42c41_big_gallery.jpeg,0,Normal,60,False
61,15/Normal/db7fe449b701f5529532930c47990b_big_gallery.jpeg,0,Normal,61,False
62,15/Normal/db3132a20857f681e8cd3aecedaee0_big_gallery.jpeg,0,Normal,62,False
67,15/Normal/d86784b0d1cecb87a74f7b52549d3b_big_gallery.jpeg,0,Normal,67,False
68,15/Normal/d6ded63117f024b19a4260c7d670d8_big_gallery.jpeg,0,Normal,68,False
69,15/Normal/d6a53beaaebd37b38510ea2869f845_big_gallery.jpeg,0,Normal,69,False
70,15/Normal/d64b31591ff451b4371076e00fac37_big_gallery.jpeg,0,Normal,70,False
71,15/Normal/d5efc0cb083ff0c2297d92471f9ec5_big_gallery.jpeg,0,Normal,71,False
72,15/Normal/d5cf13e08f6d425f4a0c292c5a7d66_big_gallery.jpeg,0,Normal,72,False
74,15/Normal/d56d96524ab07020967ca6cfd0afdc_big_gallery.jpeg,0,Normal,74,False
75,15/Normal/d5462ac5fe2272485867473468c9ff_big_gallery.jpeg,0,Normal,75,False
76,15/Normal/d3c7d10813fa773cde35138a3af588_big_gallery.jpeg,0,Normal,76,False
77,15/Normal/d234993b9999d2a593739693c1a809_big_gallery.jpeg,0,Normal,77,False
78,15/Normal/d21718836b7ae9025f3ef27e2452f5_big_gallery.jpeg,0,Normal,78,False
79,15/Normal/d069bdf7ee8304bd38aac25d086e91_big_gallery.jpeg,0,Normal,79,False
80,15/Normal/d022d1079185636184f1044834e3cb_big_gallery.jpeg,0,Normal,80,False
81,15/Normal/ceeb67c5d898bad6791dd001614689_big_gallery.jpeg,0,Normal,81,False
82,15/Normal/cebaebad3eff5c44d228519c57548f_big_gallery.jpeg,0,Normal,82,False
83,15/Normal/cdc8af52851dc1796dd2e8f747b6b5_big_gallery.jpeg,0,Normal,83,False
84,15/Normal/cc46d9105ea64febe745856568a373_big_gallery.jpeg,0,Normal,84,True
85,15/Normal/cc071f455de21d1fc8572a9bcc7cff_big_gallery.jpeg,0,Normal,85,False
88,15/Normal/cb9d68cad83e992ea1eeb22f202fe9_big_gallery.jpeg,0,Normal,88,False
89,15/Normal/cb99476db16863bb936c31ce8c2819_big_gallery.jpeg,0,Normal,89,False
91,15/Normal/caaadda178bc3b7af62c7a34a13d11_big_gallery.jpeg,0,Normal,91,False
92,15/Normal/c9e3a56f3f17730216baa89ebc2999_big_gallery.jpeg,0,Normal,92,False
93,15/Normal/c978ef31d96441f7f3cf88eb3fa32c_big_gallery.jpeg,0,Normal,93,False
94,15/Normal/c9160aa105050799328a0d28c6bccc_big_gallery.jpeg,0,Normal,94,False
95,15/Normal/c8afbeaa27dc8c4f9383e8078834ce_big_gallery.jpeg,0,Normal,95,False
