class,precision,recall,f1-score,support
Normal,0.825,0.8461538461538461,0.8354430379746836,78.0
Astrocitoma,0.75,0.4931506849315068,0.5950413223140496,73.0
Carcinoma,1.0,1.0,1.0,29.0
Ependimoma,0.6923076923076923,1.0,0.8181818181818182,18.0
Ganglioglioma,0.5454545454545454,0.8571428571428571,0.6666666666666666,7.0
Germinoma,0.6666666666666666,1.0,0.8,10.0
Glioblastoma,0.7368421052631579,0.6086956521739131,0.6666666666666666,23.0
Granuloma,0.8571428571428571,1.0,0.9230769230769231,12.0
Meduloblastoma,0.5185185185185185,0.9333333333333333,0.6666666666666666,15.0
Meningioma,0.8823529411764706,0.5555555555555556,0.6818181818181818,54.0
Neurocitoma,0.8135593220338984,0.8727272727272727,0.8421052631578947,55.0
Oligodendroglioma,0.7647058823529411,0.8387096774193549,0.8,31.0
Papiloma,0.6222222222222222,0.8235294117647058,0.7088607594936709,34.0
Schwannoma,0.875,0.8615384615384616,0.8682170542635659,65.0
Tuberculoma,0.7333333333333333,0.6875,0.7096774193548387,16.0
macro avg,0.7522070724314868,0.8252024501827205,0.7721614519757085,520.0
weighted avg,0.7921535388618375,0.7769230769230769,0.7715979877819361,520.0
accuracy,0.7769230769230769,,,520.0
